shot_outcome,shot_pressure,build_up_passes,distance_from_goal,Target variable
Point,Low,8,14.56021978,Free Kick from Hands
Wide,Low,4,11.18033989,Open Play
Point,Medium,3,34.20526275,Open Play
Post,Low,16,,Open Play
Short,High,10,32.24903099,Open Play
Point,,2,29.12043956,Free Kick from Hands
Point,Low,6,41.14608122,Open Play
Point,,12,27.80287755,Open Play
Wide,Low,7,,Open Play
Short,Medium,,36.76955262,Open Play
Point,Low,8,37.58989226,Free Kick from Hands
Point,Low,3,,Open Play
Point,Medium,4,39.8246155,Open Play
,Low,1,31.38470965,Open Play
Point,Low,2,15.65247584,Free Kick from Hands
Point,Low,5,29.68164416,Free Kick from Hands
Point,Medium,11,36.40054945,Open Play
,Medium,6.050314465,26.07680962,Open Play
Wide,Low,9,37.44329045,Free Kick from Hands
Wide,Medium,2,32.14031736,Open Play
Wide,Low,9,27.20294102,Open Play
Wide,Low,1,39.59797975,Open Play
,Low,3,,Free Kick from Hands
Short,,11,32.24903099,Open Play
Short,Low,14,51.623638,Open Play
Point,Medium,11,25.96150997,Open Play
Wide,,0,39.81205847,Open Play
Point,High,7,,Open Play
Point,High,2,31.06444913,Open Play
Blocked,High,,20.24845673,Open Play
Point,,7,36.76955262,Open Play
Point,Low,6,41.18252056,Open Play
Goal,,9,,Open Play
Point,Low,1,47.85394446,Free Kick from Ground
,,5,,Open Play
Short,High,9,36.40054945,Open Play
Point,Low,0,15.65247584,Free Kick from Hands
Blocked,,1,38.60051813,Open Play
Wide,Low,1,37.48332963,Free Kick from Hands
Point,Low,7,42.3792402,Open Play
Point,Low,6.050314465,34.0147027,Free Kick from Hands
Short,Low,7,37.33630941,Open Play
Point,Medium,26,38,Open Play
Wide,Medium,10,40.19950248,Open Play
Point,Low,2,29.69848481,Open Play
Wide,Low,1,42.19004622,Free Kick from Hands
Point,Medium,6,14.2126704,Open Play
Wide,High,6,18.68154169,Open Play
Point,Low,7,34.525353,Open Play
Point,Medium,3,41.23105626,Open Play
Point,Low,2,20.59126028,Free Kick from Ground
Point,Low,10,38.20994635,Open Play
