shot_outcome,shot_pressure,build_up_passes,distance_from_goal,target_variable
Point,Low,8.0,14.56021978,Free Kick from Hands
Wide,Low,4.0,11.18033989,Open Play
Point,Medium,3.0,34.20526275,Open Play
Post,Low,16.0,31.33833764513423,Open Play
Short,High,10.0,32.24903099,Open Play
Point,Low,2.0,29.12043956,Free Kick from Hands
Point,Low,6.0,41.14608122,Open Play
Point,Low,12.0,27.80287755,Open Play
Wide,Low,7.0,31.33833764513423,Open Play
Short,Medium,6.1892918402272725,36.76955262,Open Play
Point,Low,8.0,37.58989226,Free Kick from Hands
Point,Low,3.0,31.33833764513423,Open Play
Point,Medium,4.0,39.8246155,Open Play
Point,Low,1.0,31.38470965,Open Play
Point,Low,2.0,15.65247584,Free Kick from Hands
Point,Low,5.0,29.68164416,Free Kick from Hands
Point,Medium,11.0,36.40054945,Open Play
Point,Medium,6.050314465,26.07680962,Open Play
Wide,Low,9.0,37.44329045,Free Kick from Hands
Wide,Medium,2.0,32.14031736,Open Play
Wide,Low,9.0,27.20294102,Open Play
Wide,Low,1.0,39.59797975,Open Play
Point,Low,3.0,31.33833764513423,Free Kick from Hands
Short,Low,11.0,32.24903099,Open Play
Short,Low,14.0,51.623638,Open Play
Point,Medium,11.0,25.96150997,Open Play
Wide,Low,0.0,39.81205847,Open Play
Point,High,7.0,31.33833764513423,Open Play
Point,High,2.0,31.06444913,Open Play
Blocked,High,6.1892918402272725,20.24845673,Open Play
Point,Low,7.0,36.76955262,Open Play
Point,Low,6.0,41.18252056,Open Play
Goal,Low,9.0,31.33833764513423,Open Play
Point,Low,1.0,47.85394446,Free Kick from Ground
Point,Low,5.0,31.33833764513423,Open Play
Short,High,9.0,36.40054945,Open Play
Point,Low,0.0,15.65247584,Free Kick from Hands
Blocked,Low,1.0,38.60051813,Open Play
Wide,Low,1.0,37.48332963,Free Kick from Hands
Point,Low,7.0,42.3792402,Open Play
Point,Low,6.050314465,34.0147027,Free Kick from Hands
Short,Low,7.0,37.33630941,Open Play
Point,Medium,26.0,38.0,Open Play
Wide,Medium,10.0,40.19950248,Open Play
Point,Low,2.0,29.69848481,Open Play
Wide,Low,1.0,42.19004622,Free Kick from Hands
Point,Medium,6.0,14.2126704,Open Play
Wide,High,6.0,18.68154169,Open Play
Point,Low,7.0,34.525353,Open Play
Point,Medium,3.0,41.23105626,Open Play
Point,Low,2.0,20.59126028,Free Kick from Ground
Point,Low,10.0,38.20994635,Open Play
